lat,lon,id,pm2_5_cf_1_count,pm2_5_atm_count,p_2_5_um_count,start_date,end_date,Network
34.0736,-118.269,185,8999,8999,8999,01-01-2019 00:00,13-01-2020 23:55,PPA
34.0736,-118.269,186,8999,8999,8999,01-01-2019 00:00,13-01-2020 23:53,PPA
33.8426,-118.339,407,4370,4370,4363,01-01-2019 00:00,13-01-2020 23:56,PPA
33.8426,-118.339,408,4187,4187,4189,01-01-2019 00:01,13-01-2020 23:10,PPA
33.8358,-118.327,413,264,264,264,01-01-2019 00:00,11-01-2019 23:00,PPA
33.8358,-118.327,414,264,264,264,01-01-2019 00:00,11-01-2019 23:00,PPA
33.7167,-118.31,417,8784,8784,8784,01-01-2019 00:00,13-01-2020 23:10,PPA
33.7167,-118.31,418,8785,8785,8784,01-01-2019 00:00,13-01-2020 23:10,PPA
33.8152,-118.369,419,2395,2395,2396,01-01-2019 00:00,13-04-2019 07:00,PPA
33.8152,-118.369,420,2398,2398,2399,01-01-2019 00:00,13-04-2019 07:00,PPA
36.7245,-119.702,470,8998,8998,8997,01-01-2019 00:00,14-01-2020 23:13,PPA
36.7245,-119.702,473,9001,9001,9001,01-01-2019 00:13,14-01-2020 23:21,PPA
36.7245,-119.702,474,9001,9001,9001,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7956,-118.261,489,8941,8941,8945,01-01-2019 00:06,13-01-2020 23:09,PPA
33.7956,-118.261,490,8947,8947,8949,01-01-2019 00:00,13-01-2020 23:15,PPA
33.7882,-118.244,495,7488,7488,7489,01-01-2019 00:00,20-11-2019 18:01,PPA
33.7882,-118.244,496,7488,7488,7488,01-01-2019 00:00,20-11-2019 18:01,PPA
34.0657,-118.021,547,8177,8177,8177,01-01-2019 00:00,09-12-2019 00:01,PPA
34.0657,-118.021,548,8178,8178,8177,01-01-2019 00:00,09-12-2019 00:01,PPA
33.7096,-118.288,565,252,252,255,03-01-2019 16:13,17-12-2019 03:01,PPA
33.7096,-118.288,566,271,271,271,03-01-2019 16:09,28-12-2019 19:47,PPA
34.1268,-118.062,567,8716,8716,8718,01-01-2019 23:02,13-01-2020 23:14,PPA
34.1268,-118.062,568,8718,8718,8717,01-01-2019 00:01,13-01-2020 23:06,PPA
33.8663,-118.318,569,374,374,374,10-01-2019 06:31,24-01-2019 07:00,PPA
33.8663,-118.318,570,374,374,374,08-01-2019 18:31,24-01-2019 07:00,PPA
33.8679,-118.33,573,9002,9002,9002,01-01-2019 00:00,13-01-2020 23:20,PPA
33.8679,-118.33,574,9003,9003,9002,01-01-2019 00:00,13-01-2020 23:20,PPA
33.7388,-118.299,575,3166,3166,3165,01-01-2019 00:00,12-05-2019 20:00,PPA
33.7388,-118.299,576,3165,3165,3165,01-01-2019 00:00,12-05-2019 20:00,PPA
33.7753,-118.268,577,280,280,280,01-01-2019 00:00,12-01-2019 15:02,PPA
33.7753,-118.268,578,280,280,280,01-01-2019 00:00,12-01-2019 15:00,PPA
33.8394,-118.322,579,122,122,122,01-01-2019 00:01,06-01-2019 01:01,PPA
33.8394,-118.322,580,122,122,122,01-01-2019 00:01,06-01-2019 01:01,PPA
34.0896,-118.226,583,8929,8929,8863,01-01-2019 00:26,13-01-2020 23:28,PPA
34.0896,-118.226,584,8937,8937,8940,01-01-2019 00:01,13-01-2020 23:46,PPA
34.0679,-118.457,587,1095,1095,1095,10-01-2019 19:58,05-12-2019 12:44,PPA
34.0679,-118.457,588,1070,1070,1070,10-01-2019 19:59,05-12-2019 12:44,PPA
34.0685,-118.206,1128,8982,8982,8982,01-01-2019 00:01,14-01-2020 23:06,PPA
34.0685,-118.206,1129,8982,8982,8982,01-01-2019 00:00,14-01-2020 23:08,PPA
34.443,-119.781,1166,3863,3863,3867,01-01-2019 00:01,11-06-2019 08:01,PPA
34.443,-119.781,1167,3861,3861,3866,01-01-2019 00:05,11-06-2019 08:01,PPA
33.8632,-118.388,1266,8722,8722,8723,01-01-2019 00:01,13-01-2020 23:14,PPA
33.8632,-118.388,1267,8724,8724,8716,01-01-2019 00:01,13-01-2020 23:16,PPA
33.7354,-118.308,1436,8559,8559,8560,01-01-2019 00:00,13-01-2020 23:55,PPA
33.7354,-118.308,1437,8560,8560,8560,01-01-2019 00:00,13-01-2020 23:15,PPA
34.0917,-118.234,1503,2120,2120,2119,01-01-2019 00:00,30-03-2019 16:00,PPA
34.0917,-118.234,1504,2119,2119,2119,01-01-2019 00:00,30-03-2019 16:00,PPA
34.0858,-118.23,1507,8668,8668,8668,01-01-2019 00:01,13-01-2020 23:01,PPA
34.0858,-118.23,1508,8669,8669,8670,01-01-2019 00:01,13-01-2020 23:01,PPA
34.1043,-117.743,1648,9003,9003,9003,01-01-2019 00:01,13-01-2020 23:14,PPA
34.1043,-117.743,1649,9003,9003,9004,01-01-2019 00:01,13-01-2020 23:14,PPA
34.0666,-118.053,1650,9003,9003,9003,01-01-2019 05:05,13-01-2020 23:13,PPA
34.0666,-118.053,1651,9003,9003,9003,01-01-2019 00:09,13-01-2020 23:14,PPA
34.1485,-118.143,1678,5235,5235,5236,01-01-2019 00:00,07-08-2019 23:01,PPA
34.1485,-118.143,1679,5235,5235,5236,30-01-2019 23:01,07-08-2019 23:01,PPA
34.0965,-117.97,1680,8928,8928,8928,01-01-2019 00:00,13-01-2020 23:16,PPA
34.0965,-117.97,1681,8929,8929,8928,11-12-2019 01:00,13-01-2020 23:14,PPA
34.071,-118.142,1684,8905,8905,8905,01-01-2019 00:00,13-01-2020 23:18,PPA
34.071,-118.142,1685,8905,8905,8905,01-01-2019 00:00,13-01-2020 23:14,PPA
34.168,-118.179,1686,8984,8984,8984,02-01-2019 12:02,13-01-2020 23:11,PPA
34.168,-118.179,1687,8984,8984,8984,01-01-2019 00:00,13-01-2020 23:14,PPA
34.0892,-118.029,1688,293,293,293,01-01-2019 00:00,13-01-2019 04:00,PPA
